id,suhu,kelembapan,gas,waktu
1001,30.5,68,681,22:53.0
1002,30.5,68,484,22:58.3
1003,30.5,68,688,23:02.9
1004,30.5,68,596,23:07.9
1005,30.5,68,657,23:12.9
1006,30.5,68,693,23:18.0
1007,30.5,68,651,23:23.0
1008,30.5,68,615,23:28.0
1009,30.5,68,594,23:33.1
1010,30.5,68,704,23:38.0
1011,30.5,68,560,23:43.1
1012,30.5,68,450,23:48.2
1013,30.5,68,694,23:53.1
1014,30.5,68,528,23:58.2
1015,30.5,68,717,24:03.2
1016,30.5,68,490,24:08.2
1017,30.5,68,656,24:13.3
1018,30.5,68,539,24:18.3
1019,30.5,68,592,24:23.3
1020,30.5,68,637,24:28.3
1021,30.5,68,565,24:33.3
1022,30.5,68,575,24:38.4
1023,30.5,68,617,24:43.4
1024,30.5,68,559,24:48.5
1025,30.5,68,575,24:53.4
1026,30.5,68,654,24:58.5
1027,30.5,68,576,25:03.5
1028,30.5,68,613,25:08.5
1029,30.5,68,646,25:13.5
1030,30.5,68,565,25:18.7
1031,30.4,68,659,25:23.6
1032,30.4,68,741,25:28.6
1033,30.4,68,565,25:33.7
1034,30.4,68,490,25:38.7
1035,30.4,68,622,25:43.7
1036,30.4,68,684,25:48.8
1037,30.4,68,701,25:53.9
1038,30.4,68,703,25:58.8
1039,30.4,68,672,26:03.8
1040,30.4,68,682,26:08.8
1041,30.4,68,474,26:13.8
1042,30.4,68,559,26:18.9
1043,30.4,68,548,26:23.9
1044,30.4,68,526,26:28.9
1045,30.4,68,676,26:34.0
1046,30.4,68,771,26:39.0
1047,30.4,68,576,26:44.0
1048,30.4,68,450,26:49.1
1049,30.4,68,735,26:54.1
1050,30.4,68,630,26:59.1
1051,30.4,67,534,27:04.1
1052,30.4,67,583,27:09.1
1053,30.4,67,528,27:14.2
1054,30.4,67,571,27:19.6
1055,30.4,67,582,27:24.2
1056,30.5,67,591,27:29.3
1057,30.5,68,645,27:34.3
1058,30.5,68,656,27:39.3
1059,30.5,68,607,27:44.3
1060,30.5,68,499,27:49.3
1061,30.5,68,637,27:54.4
1062,30.5,68,615,27:59.9
1063,30.4,68,506,28:04.5
1064,30.4,68,671,28:09.5
1065,30.4,68,658,28:14.5
1066,30.4,68,702,28:19.5
1067,30.4,68,484,28:24.5
1068,30.4,68,577,28:29.6
1069,30.5,67,547,28:34.6
1070,30.5,67,496,28:39.6
1071,30.4,66,733,28:44.6
1072,30.4,66,565,28:49.7
1073,30.4,66,734,28:54.7
1074,30.4,66,725,28:59.7
1075,30.4,66,454,29:04.8
1076,30.4,67,735,29:09.8
1077,30.4,67,450,29:14.8
1078,30.4,67,765,29:19.9
1079,30.4,67,695,29:24.9
1080,30.4,68,596,29:29.9
1081,30.5,68,688,29:35.0
1082,30.5,68,437,29:39.9
1083,30.5,68,433,29:44.9
1084,30.5,68,657,29:50.0
1085,30.5,68,419,29:55.0
1086,30.5,67,733,30:00.0
1087,30.5,67,743,30:05.1
1088,30.5,67,458,30:10.1
1089,30.5,67,656,30:15.1
1090,30.5,67,533,30:20.2
1091,30.5,67,560,30:25.2
1092,30.5,67,659,30:30.2
1093,30.5,67,560,30:35.3
1094,30.5,67,434,30:40.2
1095,30.5,67,597,30:45.3
1096,30.5,66,595,30:50.4
1097,30.5,66,624,30:55.3
1098,30.5,66,496,31:00.4
1099,30.5,66,734,31:05.4
1100,30.5,67,661,31:10.4
1101,30.5,67,688,31:15.4
1102,30.5,67,573,31:20.5
1103,30.5,67,511,31:25.5
1104,30.5,67,510,31:30.5
1105,30.5,67,658,31:35.6
1106,30.5,67,535,31:40.6
1107,30.5,67,593,31:45.6
1108,30.5,67,661,31:50.7
1109,30.5,66,551,31:55.6
1110,30.5,66,595,32:00.6
1111,30.5,66,647,32:05.7
1112,30.5,66,485,32:10.8
1113,30.5,67,720,32:15.8
1114,30.5,67,721,32:20.7
1115,30.5,67,610,32:25.9
1116,30.5,67,703,32:30.8
1117,30.5,68,643,32:35.8
1118,30.5,68,658,32:40.9
1119,30.5,68,575,32:46.1
1120,30.5,68,635,32:50.9
1121,30.5,68,635,32:55.9
1122,30.5,68,562,33:01.5
1123,30.5,68,629,33:06.0
1124,30.5,68,669,33:11.5
1125,30.5,68,573,33:16.1
1126,30.5,68,430,33:21.1
1127,30.5,68,641,33:26.1
1128,30.5,68,546,33:31.1
1129,30.5,68,687,33:36.2
1130,30.5,68,506,33:41.2
1131,30.5,68,641,33:46.2
1132,30.5,68,653,33:51.2
1133,30.5,68,667,33:56.3
1134,30.5,68,564,34:01.3
1135,30.5,68,737,34:06.3
1136,30.5,68,496,34:11.4
1137,30.5,68,581,34:16.3
1138,30.5,68,702,34:21.4
1139,30.5,68,629,34:26.4
1140,30.5,68,666,34:31.5
1141,30.5,68,673,34:36.5
1142,30.5,68,705,34:41.5
1143,30.5,68,459,34:46.6
1144,30.5,68,684,34:51.7
1145,30.5,68,607,34:56.6
1146,30.5,68,637,35:01.6
1147,30.5,68,592,35:06.7
1148,30.4,68,618,35:11.8
1149,30.4,68,404,35:16.7
1150,30.4,68,511,35:21.8
1151,30.4,68,725,35:26.7
1152,30.4,68,585,35:31.8
1153,30.4,68,479,35:36.8
1154,30.4,68,675,35:41.8
1155,30.4,68,667,35:46.9
1156,30.4,68,712,35:51.9
1157,30.4,68,682,35:56.9
1158,30.4,68,494,36:02.0
1159,30.5,68,667,36:06.9
1160,30.5,68,641,36:12.0
1161,30.5,68,587,36:17.0
1162,30.5,68,687,36:22.0
1163,30.5,68,459,36:27.1
1164,30.5,68,527,36:32.1
1165,30.5,67,653,36:37.2
1166,30.5,67,635,36:42.2
1167,30.5,67,595,36:47.3
1168,30.5,67,687,36:52.2
1169,30.5,67,699,36:57.2
1170,30.5,67,663,37:02.3
1171,30.5,67,646,37:07.3
1172,30.5,67,629,37:12.3
1173,30.5,67,496,37:17.3
1174,30.5,68,711,37:22.3
1175,30.5,68,645,37:27.4
1176,30.5,68,533,37:32.4
1177,30.5,68,591,37:37.4
1178,30.5,68,583,37:42.4
1179,30.5,68,501,37:47.5
1180,30.5,68,607,37:52.6
1181,30.5,68,576,37:57.5
1182,30.5,68,661,38:03.2
1183,30.5,68,481,38:07.6
1184,30.5,68,709,38:12.6
1185,30.5,67,497,38:17.6
1186,30.5,67,703,38:22.7
1187,30.5,67,764,38:27.7
1188,30.5,67,567,38:32.7
1189,30.5,67,711,38:37.8
1190,30.5,67,527,38:42.7
1191,30.6,67,718,38:47.8
1192,30.6,67,695,38:52.9
1193,30.6,67,692,38:57.8
1194,30.6,67,586,39:02.9
1195,30.6,67,677,39:07.9
1196,30.6,67,699,39:12.9
1197,30.6,67,511,39:17.9
1198,30.6,67,601,39:23.0
1199,30.6,67,677,39:28.0
1200,30.6,67,681,39:33.0
1201,30.6,66,528,39:38.1
1202,30.6,66,603,39:43.1
1203,30.6,66,672,39:48.2
1204,30.6,66,609,39:53.3
1205,30.6,66,597,39:58.1
1206,30.6,66,595,40:03.2
1207,30.6,66,439,40:08.2
1208,30.6,65,506,40:13.2
1209,30.6,65,547,40:18.2
1210,30.6,65,489,40:23.3
1211,30.6,65,740,40:28.3
1212,30.6,65,677,40:33.3
1213,30.6,66,586,40:38.4
1214,30.6,66,559,40:43.4
1215,30.6,66,565,40:48.4
1216,30.6,66,562,40:53.4
1217,30.6,66,510,40:58.5
1218,30.6,66,572,41:03.5
1219,30.6,66,667,41:08.5
1220,30.6,67,637,41:13.6
1221,30.6,67,538,41:18.6
1222,30.7,67,639,41:23.6
1223,30.7,67,511,41:28.7
1224,30.7,67,621,41:33.6
1225,30.7,67,621,41:38.7
1226,30.7,67,558,41:43.8
1227,30.7,67,688,41:48.7
1228,30.7,67,567,41:53.8
1229,30.8,67,615,41:58.9
1230,30.8,67,580,42:03.8
1231,30.8,67,507,42:08.8
1232,30.8,67,490,42:13.8
1233,30.8,67,677,42:18.9
1234,30.8,67,657,42:23.9
1235,30.8,67,725,42:28.9
1236,30.9,67,605,42:34.0
1237,30.9,67,466,42:39.0
1238,30.9,68,613,42:44.0
1239,30.9,68,458,42:49.0
1240,30.9,68,592,42:54.1
1241,30.9,68,695,42:59.1
1242,30.9,68,431,43:04.6
1243,30.9,68,720,43:09.2
1244,30.9,68,496,43:14.2
1245,30.9,68,483,43:19.2
1246,30.9,68,505,43:24.3
1247,30.9,68,457,43:29.3
1248,30.9,68,549,43:34.3
1249,30.9,68,675,43:39.4
1250,30.9,68,580,43:44.3
1251,30.9,69,442,43:49.4
1252,30.9,69,511,43:54.4
1253,30.9,69,577,43:59.6
1254,30.9,69,489,44:04.5
1255,30.9,69,606,44:09.4
1256,30.9,69,629,44:14.6
1257,30.9,68,511,44:19.6
1258,30.9,68,453,44:24.5
1259,30.9,68,498,44:29.5
1260,30.9,68,475,44:34.6
1261,31,68,636,44:39.6
1262,31,68,566,44:44.6
1263,31,68,539,44:49.7
1264,31,68,660,44:54.7
1265,31,68,536,44:59.7
1266,31,68,478,45:04.8
1267,31,68,657,45:09.8
1268,31,68,578,45:14.8
1269,31,68,657,45:19.9
1270,31,68,695,45:24.9
1271,31,68,676,45:29.9
1272,31,68,435,45:35.0
1273,31,68,733,45:40.0
1274,31,67,579,45:45.0
1275,31,67,670,45:50.1
1276,31,67,651,45:55.1
1277,31,67,688,46:00.1
1278,31,67,643,46:05.2
1279,31,67,625,46:10.1
1280,31,67,615,46:15.1
1281,31,67,689,46:20.2
1282,31,67,618,46:25.3
1283,31,67,603,46:30.3
1284,31,67,605,46:35.3
1285,31,67,660,46:40.3
1286,31,67,599,46:45.3
1287,31,67,646,46:51.2
1288,31,67,560,46:55.3
1289,31,67,659,47:00.4
1290,31,67,592,47:05.6
1291,31,66,487,47:10.6
1292,31,66,528,47:15.4
1293,31,67,630,47:20.5
1294,31,67,649,47:25.5
1295,31,67,592,47:30.5
1296,31,67,635,47:35.6
1297,31,67,505,47:40.7
1298,31,67,656,47:45.6
1299,31,67,491,47:50.7
1300,31,67,639,47:55.6
1301,31,67,527,48:00.7
1302,31,67,626,48:06.4
1303,31.1,67,558,48:10.8
1304,31.1,67,706,48:15.7
1305,31.1,67,477,48:20.8
1306,31.1,67,694,48:25.9
1307,31.1,67,689,48:30.8
1308,31.1,67,531,48:35.8
1309,31.1,67,662,48:40.9
1310,31.1,67,650,48:45.9
1311,31.1,67,672,48:51.0
1312,31.1,67,678,48:55.9
1313,31.1,67,644,49:00.9
1314,31.1,67,656,49:06.0
1315,31.1,67,476,49:11.1
1316,31.1,67,666,49:16.0
1317,31.1,67,683,49:21.2
1318,31.1,67,606,49:26.1
1319,31.1,67,666,49:31.1
1320,31.1,67,658,49:36.1
1321,31.1,67,539,49:41.2
1322,31.1,67,569,49:46.2
1323,31.1,67,649,49:51.3
