id,suhu,kelembapan,gas,waktu
1678,25,63,173,2025-07-02 20:10:02.199606+00
1679,25,63,173,2025-07-02 20:10:17.316539+00
1680,25,63,173,2025-07-02 20:10:32.451404+00
1681,25,63,173,2025-07-02 20:10:47.616446+00
1682,25,63,173,2025-07-02 20:11:02.734445+00
1683,25,63,174,2025-07-02 20:11:17.888045+00
1684,25,63,173,2025-07-02 20:11:32.997198+00
1685,25.1,63,173,2025-07-02 20:11:48.115869+00
1686,25.1,63,173,2025-07-02 20:12:03.256732+00
1687,25.1,63,174,2025-07-02 20:12:18.395732+00
1688,25.1,63,173,2025-07-02 20:12:33.518662+00
1689,25.1,63,173,2025-07-02 20:12:48.647041+00
1690,25.1,63,174,2025-07-02 20:13:03.822121+00
1691,25.1,63,173,2025-07-02 20:13:19.647888+00
1692,25.1,63,173,2025-07-02 20:13:33.946955+00
1693,25.1,63,174,2025-07-02 20:13:49.130619+00
1694,25.1,63,173,2025-07-02 20:14:04.275323+00
1695,25.1,63,173,2025-07-02 20:14:19.377394+00
1696,25.1,63,174,2025-07-02 20:14:34.532263+00
1697,25.1,63,173,2025-07-02 20:14:49.639085+00
1698,25.1,63,173,2025-07-02 20:15:04.754198+00
1699,25.1,63,173,2025-07-02 20:15:19.906066+00
1700,25.1,63,174,2025-07-02 20:15:35.024769+00
1701,25.1,63,174,2025-07-02 20:15:50.138598+00
1702,25.1,63,173,2025-07-02 20:16:05.362366+00
1703,25.1,63,173,2025-07-02 20:16:20.510255+00
1704,25.1,63,174,2025-07-02 20:16:35.67126+00
1705,25.1,63,174,2025-07-02 20:16:50.775334+00
1706,25.1,63,174,2025-07-02 20:17:05.923962+00
1707,25.1,63,174,2025-07-02 20:17:21.042003+00
1708,25.1,63,174,2025-07-02 20:17:36.15955+00
1709,25.1,63,174,2025-07-02 20:17:51.278595+00
1710,25.1,63,174,2025-07-02 20:18:06.406503+00
1711,25.1,63,174,2025-07-02 20:18:22.020419+00
1712,25.1,63,174,2025-07-02 20:18:36.599492+00
1713,25.1,63,174,2025-07-02 20:18:51.771832+00
1714,25.1,63,173,2025-07-02 20:19:06.984751+00
1715,25.1,63,173,2025-07-02 20:19:22.230731+00
1716,25.2,63,174,2025-07-02 20:19:37.399686+00
1717,25.2,63,174,2025-07-02 20:19:52.520672+00
1718,25.2,63,175,2025-07-02 20:20:07.684755+00
1719,25.2,63,175,2025-07-02 20:20:22.774789+00
1720,25.2,63,175,2025-07-02 20:20:37.887044+00
